Label,Timestamp,Nose_x,Nose_y,Nose_z,Left eye inner_x,Left eye inner_y,Left eye inner_z,Left eye_x,Left eye_y,Left eye_z,Left eye outer_x,Left eye outer_y,Left eye outer_z,Right eye inner_x,Right eye inner_y,Right eye inner_z,Right eye_x,Right eye_y,Right eye_z,Right eye outer_x,Right eye outer_y,Right eye outer_z,Left ear_x,Left ear_y,Left ear_z,Right ear_x,Right ear_y,Right ear_z,Mouth left_x,Mouth left_y,Mouth left_z,Mouth right_x,Mouth right_y,Mouth right_z,Left shoulder_x,Left shoulder_y,Left shoulder_z,Right shoulder_x,Right shoulder_y,Right shoulder_z,Left elbow_x,Left elbow_y,Left elbow_z,Right elbow_x,Right elbow_y,Right elbow_z,Left wrist_x,Left wrist_y,Left wrist_z,Right wrist_x,Right wrist_y,Right wrist_z,Left pinky_x,Left pinky_y,Left pinky_z,Right pinky_x,Right pinky_y,Right pinky_z,Left index_x,Left index_y,Left index_z,Right index_x,Right index_y,Right index_z,Left thumb_x,Left thumb_y,Left thumb_z,Right thumb_x,Right thumb_y,Right thumb_z,Left hip_x,Left hip_y,Left hip_z,Right hip_x,Right hip_y,Right hip_z,Left knee_x,Left knee_y,Left knee_z,Right knee_x,Right knee_y,Right knee_z,Left ankle_x,Left ankle_y,Left ankle_z,Right ankle_x,Right ankle_y,Right ankle_z,Left heel_x,Left heel_y,Left heel_z,Right heel_x,Right heel_y,Right heel_z,Left foot index_x,Left foot index_y,Left foot index_z,Right foot index_x,Right foot index_y,Right foot index_z
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,0.7510179877281189,0.07571029663085938,-1.823827862739563,0.7813235521316528,0.011653006076812744,-1.8266888856887817,0.8141403198242188,0.010787427425384521,-1.8264421224594116,0.8453875780105591,-0.007631361484527588,-1.8277572393417358,0.6704443693161011,0.0087127685546875,-1.8438694477081299,0.6355805397033691,0.007969558238983154,-1.844616174697876,0.6008550524711609,0.006038665771484375,-1.8457999229431152,0.8796857595443726,-0.02112478017807007,-1.3239449262619019,0.5472947955131531,-0.009121119976043701,-1.3784050941467285,0.8181363344192505,0.10475191473960876,-1.5746883153915405,0.7030074596405029,0.1069224551320076,-1.5925447940826416,1.1708463430404663,0.12017437815666199,-0.7199388146400452,0.424873411655426,0.11486342549324036,-0.8326571583747864,1.3514790534973145,0.31353309750556946,-0.781482458114624,0.24543412029743195,0.4445640444755554,-0.6982067823410034,1.2166357040405273,0.2802852988243103,-1.220462679862976,0.45134487748146057,0.6279999613761902,-0.6888814568519592,1.1825708150863647,0.29771509766578674,-1.301998257637024,0.4832342565059662,0.7195751667022705,-0.6689092516899109,1.1716864109039307,0.25363776087760925,-1.3001985549926758,0.5419378280639648,0.683631181716919,-0.7094491720199585,1.165051817893982,0.2477746307849884,-1.2304394245147705,0.5624956488609314,0.648436963558197,-0.680870771408081,1.0078258514404297,0.5638877749443054,-0.08263224363327026,0.5742298364639282,0.5377652049064636,0.08475220948457718,1.3674389123916626,0.5525315999984741,-1.9358404874801636,0.16283398866653442,0.3029055893421173,-1.8952198028564453,0.7489420175552368,0.8741313219070435,-1.3586236238479614,0.5627426505088806,0.882399320602417,-1.6490790843963623,0.6755504012107849,0.8785982131958008,-1.2773938179016113,0.6584712862968445,0.92962247133255,-1.6069297790527344,0.5102576613426208,1.0305218696594238,-1.7522187232971191,0.5575264692306519,1.091380000114441,-2.1357455253601074
,9,0.7339903116226196,0.0508526936173439,-1.6762539148330688,0.7741494178771973,-0.012147128582000732,-1.6702858209609985,0.8107205629348755,-0.01528907660394907,-1.6694844961166382,0.8449744582176208,-0.02088553085923195,-1.670763611793518,0.6686278581619263,-0.005965324584394693,-1.693725347518921,0.6063297390937805,-0.018350061029195786,-1.69420325756073,0.5715914964675903,-0.01839754357933998,-1.6952024698257446,0.8789100050926208,-0.033393148332834244,-1.2247329950332642,0.5356401205062866,-0.02590428665280342,-1.311734676361084,0.8084378838539124,0.08718402683734894,-1.4598865509033203,0.69002366065979,0.08913443982601166,-1.48690927028656,1.1633899211883545,0.09231162071228027,-0.4969387948513031,0.4189942479133606,0.11763402074575424,-0.8193621635437012,1.2950630187988281,0.29051363468170166,0.6200779676437378,0.22501005232334137,0.45375028252601624,-0.4933636784553528,1.1516547203063965,0.28678423166275024,1.4065043926239014,0.4576585292816162,0.7026405930519104,-0.15463635325431824,1.1175495386123657,0.3098927438259125,1.562407374382019,0.4928991198539734,0.8056658506393433,-0.08174028247594833,1.1154232025146484,0.2712251842021942,1.5541014671325684,0.5676213502883911,0.7795369625091553,-0.12188754975795746,1.1044323444366455,0.26562240719795227,1.428694725036621,0.5895476341247559,0.7402158975601196,-0.13923688232898712,1.0218799114227295,0.5400837659835815,-0.027092335745692253,0.5966483950614929,0.5297009348869324,0.027495302259922028,1.3874588012695312,0.4600416123867035,-1.7798333168029785,0.1624193787574768,0.32302892208099365,-1.9831265211105347,0.8128955960273743,0.8403379917144775,-1.196599006652832,0.5062928199768066,0.9187005162239075,-1.6535611152648926,0.7199549674987793,0.8610178828239441,-1.127740502357483,0.5883903503417969,0.9826051592826843,-1.6151864528656006,0.6493933796882629,1.0272513628005981,-1.584375023841858,0.4884844124317169,1.133785605430603,-2.174607753753662
